2023-01-23 13:00:00,Sayles
2023-01-23 14:00:00,Sayles
2023-01-23 15:00:00,Anderson
2023-01-23 16:00:00,Library
2023-01-23 17:00:00,Library
2023-01-23 18:00:00,Burton
2023-01-23 19:00:00,Burton
2023-01-23 20:00:00,Olin
2023-01-23 21:00:00,Weitz
2023-01-23 22:00:00,Burton
2023-01-23 23:00:00,Cassat
2023-01-24 00:00:00,Cassat
2023-01-24 01:00:00,Cassat
2023-01-24 02:00:00,Cassat
2023-01-24 03:00:00,Cassat
2023-01-24 04:00:00,Cassat
2023-01-24 05:00:00,Cassat
2023-01-24 06:00:00,Cassat
2023-01-24 07:00:00,West Gym
2023-01-24 08:00:00,Burton
